YearCountry,Country,Year,Gold,Silver,Bronze,Total,Athletes,Population,GDP,Latitude,Longitude,Altitude(meters)
2008 Kyrgyzstan , Kyrgyzstan ,2008,0,1,2,3,5,5477600,5.14,,,
2008 Latvia , Latvia ,2008,1,1,1,3,16,2070371,33.67,,,
2008 Lithuania , Lithuania ,2008,0,3,2,5,18,3192800,47.25,,,
2008 Malaysia , Malaysia ,2008,0,1,0,1,3,28334135,222.74,,,
2008 Mauritius , Mauritius ,2008,0,0,1,1,3,1286051,9.64,,,
2008 Mexico , Mexico ,2008,2,0,2,4,23,112336538,1094.48,,,
2008 Moldova , Moldova ,2008,0,0,1,1,13,3559500,6.05,,,
2008 Mongolia , Mongolia ,2008,2,2,0,4,2,2736800,5.62,,,
2008 Morocco , Morocco ,2008,0,1,1,2,26,32526800,88.88,,,
2008 Netherlands , Netherlands ,2008,7,5,4,16,14,16731770,870.81,,,
2008 New Zealand , New Zealand ,2008,3,2,4,9,10,4432620,130.68,,,
2008 Nigeria , Nigeria ,2008,0,3,2,5,22,162471000,207.12,,,
2008 North Korea , North Korea ,2008,2,2,2,6,6,24052231,22.0,,,
2008 Norway , Norway ,2008,3,5,1,9,9,5005700,453.89,,,
2008 Panama , Panama ,2008,1,0,0,1,2,3405813,23.0,,,
2008 Poland , Poland ,2008,4,5,2,11,60,38501000,529.4,,,
2008 Portugal , Portugal ,2008,1,1,0,2,27,10561614,251.93,,,
2008 Romania , Romania ,2008,4,1,4,9,16,19042936,200.07,,,
2008 Russia , Russia ,2008,24,13,23,60,104,143056383,1660.85,,,
2008 Samoa , Samoa ,2008,0,1,0,1,2,186340,47.76,,,
2008 Serbia , Serbia ,2008,0,1,2,3,10,7120666,166.79,,,
2008 Singapore , Singapore ,2008,0,1,0,1,2,5183700,97.91,,,
2008 Slovakia , Slovakia ,2008,3,3,0,6,18,5445324,54.61,,,
2008 Slovenia , Slovenia ,2008,1,2,2,5,17,2057540,273.87,,,
2008 South Africa , South Africa ,2008,0,1,0,1,23,50586757,931.4,,,
2008 South Korea , South Korea ,2008,13,11,8,32,17,48580000,1593.36,,,
2008 Spain , Spain ,2008,5,11,3,19,54,46196278,58.03,,,
